factor_quantile,group,1D,6D,12D
1,Consumer,0.0004917632402551532,0.002330511851359886,0.0035840271500068954
1,Energy,0.0020986967049838193,0.00807611401633484,0.020506558758570263
1,Financials,0.0001851593881267953,0.0010371199574516195,0.0022966024417555744
1,Healthcare,6.67147461308642e-06,0.00015832818423910185,-0.0014161486891170942
1,Industrials,0.000846355994067198,0.006282878049756246,0.012030825897264723
1,Materials,,,
1,Real Estate,-0.0005574124767268164,-0.003407590012744336,-0.006839598617023243
1,Tech,-0.00022780447831416347,-0.0015244841456516659,-0.0031058286857848466
1,Utilities,-0.0010433350126674197,-0.005831236365613293,-0.010306673062572989
2,Consumer,-0.0001511315442148038,-0.001097781341458865,-0.0025227216212535142
2,Energy,0.0022432831418073276,0.009480219750980644,0.007296901659555091
2,Financials,-0.001780385054748989,-0.010717231391230108,-0.022507650739075655
2,Healthcare,-0.0005328739206415668,-0.0033882798792905155,-0.006139713180314043
2,Industrials,-0.0003858753133122597,-0.0024061217694338255,-0.0052337251159644054
2,Materials,,,
2,Real Estate,-0.0053358161742305165,-0.03069642264914772,-0.06184094032598951
2,Tech,-0.00023831954146261348,-0.001216933057740949,-0.002815440655457259
2,Utilities,0.001015233366347259,0.0073329815050576265,0.014395890790310392
3,Consumer,-6.187216883768344e-05,-0.0005001186747382446,-0.0009042211172063211
3,Energy,0.0005854953015209403,0.002608073779903556,0.010301051578974305
3,Financials,,,
3,Healthcare,0.0004507525373771405,0.002195533642285201,0.003463613688610512
3,Industrials,-0.000393890009025857,-0.0026608815868823005,-0.00457070310177836
3,Materials,0.003345614683538762,-0.00023893625276758326,0.0025974872418850037
3,Real Estate,,,
3,Tech,-2.834727873019205e-05,-0.00013517840936990778,-0.0008877780611620737
3,Utilities,0.00037723263371494496,0.0011706939759340816,0.0034087794860900144
4,Consumer,0.0001035160867230016,0.000990773775535704,0.002320341858584395
4,Energy,0.0006637218011278916,0.0059659853336444585,0.012960487156802073
4,Financials,,,
4,Healthcare,-9.528036912143811e-05,-0.00022347177094946983,0.0013081174497315382
4,Industrials,0.0001357852241031712,0.0006905778707521598,0.00126401987473643
4,Materials,0.0007300025620666426,0.005019341959642983,0.010761635723594452
4,Real Estate,,,
4,Tech,0.0002417237478299044,0.000803025396947013,0.0008221905912400662
4,Utilities,-0.0002115846742540591,-0.0012304860440506711,-0.0009661613873636178
5,Consumer,0.00011112132846956686,0.00032411309434980147,0.0008739380522006479
5,Energy,0.0007557971537329497,0.0045241654908854245,0.009421741413526348
5,Financials,,,
5,Healthcare,-5.713676794395895e-05,-0.0005185780330734927,-0.0007028711224275089
5,Industrials,0.00019518767662809628,0.001363005907705146,0.0030144271681293872
5,Materials,0.0001551903230416712,0.0009046030381287035,0.0013864372930449964
5,Real Estate,,,
5,Tech,0.00028115786475232084,0.0017417408437233315,0.003961902591073922
5,Utilities,-7.177513503989509e-05,0.00040013777117696306,0.0025151380054896024
