date,1D,6D,12D
2026-01-02 09:00:00,0.1664385700016353,0.20576724537132354,0.02540277078213072
2026-01-03 09:00:00,,,
2026-01-04 09:00:00,,,
2026-01-05 09:00:00,0.02770708283313325,0.29728691476590635,0.39207683073229294
2026-01-06 09:00:00,0.06775510204081632,0.02127250900360144,-0.2893157262905162
2026-01-07 09:00:00,0.051908763505402154,0.11270108043217285,0.18876350540216086
2026-01-08 09:00:00,0.07591836734693877,0.09531812725090036,0.4896518607442977
2026-01-09 09:00:00,-0.008115246098439374,0.23783913565426168,-0.0011044417767106843
2026-01-10 09:00:00,,,
2026-01-11 09:00:00,,,
2026-01-12 09:00:00,0.04614645858343337,0.11039615846338535,0.10789915966386554
2026-01-13 09:00:00,0.4463385354141656,0.1320048019207683,0.3589435774309723
2026-01-14 09:00:00,0.35327731092436976,0.3027611044417767,0.5041536614645858
2026-01-15 09:00:00,-0.08993997599039616,0.19884753901560623,0.5130852340936374
2026-01-16 09:00:00,0.08100840336134453,0.19807923169267705,0.29872749099639856
2026-01-17 09:00:00,,,
2026-01-18 09:00:00,,,
2026-01-19 09:00:00,,,
2026-01-20 09:00:00,-0.358079231692677,-0.14650660264105642,0.2703961584633853
2026-01-21 09:00:00,0.5196158463385354,0.4864825930372148,-0.009171668667466985
2026-01-22 09:00:00,-0.1341176470588235,-0.0885954381752701,-0.24936374549819929
2026-01-23 09:00:00,-0.0848499399759904,-0.27827130852340937,-0.1847298919567827
2026-01-24 09:00:00,,,
2026-01-25 09:00:00,,,
2026-01-26 09:00:00,-0.2869147659063625,-0.18165666266506603,0.43001200480192076
2026-01-27 09:00:00,0.192124849939976,-0.10645858343337333,0.3005522208883553
2026-01-28 09:00:00,0.44902761104441774,0.661656662665066,0.53046818727491
2026-01-29 09:00:00,-0.3009363745498199,-0.08369747899159663,-0.3248499399759904
2026-01-30 09:00:00,-0.41637454981992794,-0.2736614645858343,0.13930372148859543
2026-01-31 09:00:00,,,
2026-02-01 09:00:00,,,
2026-02-02 09:00:00,0.3684513805522209,0.6905642256902761,0.6103721488595437
2026-02-03 09:00:00,0.5573589435774309,0.3049699879951981,-0.059495798319327726
2026-02-04 09:00:00,-0.7250420168067226,-0.6358223289315726,-0.17800720288115246
2026-02-05 09:00:00,-0.03308523409363745,0.6014405762304922,0.20153661464585834
2026-02-06 09:00:00,-0.6068187274909964,-0.3535654261704682,-0.34031212484994
2026-02-07 09:00:00,,,
2026-02-08 09:00:00,,,
2026-02-09 09:00:00,-0.2594477791116447,-0.5484273709483793,-0.4343337334933973
2026-02-10 09:00:00,-0.23322929171668666,0.26300120048019204,0.6971908763505402
2026-02-11 09:00:00,0.0480672268907563,0.049315726290516206,0.36979591836734693
2026-02-12 09:00:00,0.49493397358943575,-0.2226650660264106,-0.3125570228091236
2026-02-13 09:00:00,0.41147659063625447,0.034717887154861946,0.38410564225690275
2026-02-14 09:00:00,,,
2026-02-15 09:00:00,,,
2026-02-16 09:00:00,,,
2026-02-17 09:00:00,0.28989195678271307,0.10914765906362545,0.03260504201680672
2026-02-18 09:00:00,-0.3707563025210084,-0.2763505402160864,-0.3633613445378151
2026-02-19 09:00:00,0.2669387755102041,0.1624489795918367,0.37277310924369744
2026-02-20 09:00:00,-0.0346218487394958,0.4792797118847539,0.6950780312124849
2026-02-21 09:00:00,,,
2026-02-22 09:00:00,,,
2026-02-23 09:00:00,0.12825930372148858,0.22986794717887157,-0.08456182472989196
2026-02-24 09:00:00,-0.5707082833133252,-0.4563265306122449,-0.48677070828331326
2026-02-25 09:00:00,-0.4087875150060023,-0.6548379351740695,-0.7415606242496998
2026-02-26 09:00:00,-0.2855702280912365,0.14228091236494594,0.2795198079231692
2026-02-27 09:00:00,0.37267707082833135,-0.09051620648259305,-0.34895558223289314
2026-02-28 09:00:00,,,
2026-03-01 09:00:00,,,
2026-03-02 09:00:00,-0.4429771908763505,-0.011860744297719087,-0.767875150060024
2026-03-03 09:00:00,-0.27846338535414167,-0.7893877551020407,-0.6008643457382953
2026-03-04 09:00:00,0.3507803121248499,-0.0027370948379351738,-0.6023049219687875
2026-03-05 09:00:00,0.22247298919567823,-0.306890756302521,-0.5497719087635053
2026-03-06 09:00:00,-0.44893157262905165,-0.5770468187274909,-0.6142136854741896
2026-03-07 09:00:00,,,
2026-03-08 09:00:00,,,
2026-03-09 09:00:00,0.11385354141656662,0.22967587034813922,0.4563265306122449
2026-03-10 09:00:00,0.39515006002400954,0.11433373349339734,0.30967587034813926
2026-03-11 09:00:00,0.5175990396158463,0.36028811524609844,0.15889555822328932
2026-03-12 09:00:00,0.08417767106842736,0.4895558223289315,0.614501800720288
2026-03-13 09:00:00,0.18799519807923168,0.1983673469387755,0.1223049219687875
2026-03-14 09:00:00,,,
2026-03-15 09:00:00,,,
2026-03-16 09:00:00,-0.15303721488595437,-0.1470828331332533,-0.0710204081632653
2026-03-17 09:00:00,0.4307426350013471,0.4140795698569248,0.4085572283825486
2026-03-18 09:00:00,0.6169027611044418,0.21872749099639854,0.20557022809123648
2026-03-19 09:00:00,0.37488595438175265,0.30967587034813926,-0.06103241296518607
2026-03-20 09:00:00,-0.653205282112845,-0.37719087635054016,-0.41109243697478987
2026-03-21 09:00:00,,,
2026-03-22 09:00:00,,,
2026-03-23 09:00:00,0.3213925570228091,-0.039519807923169274,0.4128211284513805
2026-03-24 09:00:00,0.19846338535414165,0.24600240096038412,0.146890756302521
2026-03-25 09:00:00,0.5215366146458583,0.5740696278511405,0.013781512605042016
2026-03-26 09:00:00,-0.353469387755102,-0.09378151260504201,0.25330132052821125
